帧号,时间(秒),状态,置信度
10908,545.4,open,1.0
10909,545.45,open,1.0
10910,545.5,open,1.0
10911,545.55,open,1.0
10912,545.6,open,1.0
10913,545.65,open,1.0
10914,545.7,open,1.0
10915,545.75,open,1.0
10916,545.8,open,1.0
10917,545.85,open,1.0
10918,545.9,open,1.0
10919,545.95,open,1.0
10920,546.0,open,1.0
10921,546.05,open,1.0
10922,546.1,open,1.0
10923,546.15,open,1.0
10924,546.2,open,1.0
10925,546.25,open,1.0
10926,546.3,open,1.0
10927,546.35,open,1.0
10928,546.4,open,1.0
10929,546.45,open,1.0
10930,546.5,open,1.0
10931,546.55,open,1.0
10932,546.6,open,1.0
10933,546.65,open,1.0
10934,546.7,open,1.0
10935,546.75,open,1.0
10936,546.8,open,1.0
10937,546.85,open,1.0
10938,546.9,open,1.0
10939,546.95,close,0.9442
10940,547.0,close,0.9974
10941,547.05,close,0.9935
10942,547.1,open,0.9978
10943,547.15,open,1.0
10944,547.2,open,1.0
10945,547.25,open,1.0
10946,547.3,open,1.0
10947,547.35,open,1.0
10948,547.4,open,1.0
10949,547.45,open,1.0
10950,547.5,open,1.0
10951,547.55,open,1.0
10952,547.6,open,1.0
10953,547.65,open,1.0
10954,547.7,open,1.0
10955,547.75,open,1.0
10956,547.8,open,1.0
10957,547.85,open,1.0
10958,547.9,open,1.0
10959,547.95,open,1.0
10960,548.0,open,1.0
10961,548.05,open,1.0
10962,548.1,open,1.0
10963,548.15,open,1.0
10964,548.2,open,1.0
10965,548.25,open,1.0
10966,548.3,open,1.0
10967,548.35,open,1.0
10968,548.4,open,1.0
10969,548.45,open,1.0
10970,548.5,open,1.0
10971,548.55,open,1.0
10972,548.6,open,1.0
10973,548.65,open,1.0
10974,548.7,open,1.0
10975,548.75,open,1.0
10976,548.8,open,1.0
10977,548.85,open,1.0
10978,548.9,open,1.0
10979,548.95,open,1.0
10980,549.0,open,1.0
10981,549.05,open,1.0
10982,549.1,open,1.0
10983,549.15,open,1.0
10984,549.2,open,1.0
10985,549.25,open,1.0
10986,549.3,close,0.9798
10987,549.35,close,0.9981
10988,549.4,open,0.9875
10989,549.45,open,1.0
10990,549.5,open,1.0
10991,549.55,open,1.0
10992,549.6,open,1.0
10993,549.65,open,1.0
10994,549.7,open,1.0
10995,549.75,open,1.0
10996,549.8,open,1.0
10997,549.85,open,1.0
10998,549.9,open,1.0
10999,549.95,open,1.0
11000,550.0,open,1.0
11001,550.05,open,1.0
11002,550.1,open,1.0
11003,550.15,open,1.0
11004,550.2,open,1.0
11005,550.25,open,1.0
11006,550.3,open,1.0
11007,550.35,open,1.0
11008,550.4,open,1.0
11009,550.45,open,1.0
11010,550.5,open,1.0
11011,550.55,open,1.0
11012,550.6,open,1.0
11013,550.65,open,1.0
11014,550.7,open,1.0
11015,550.75,open,1.0
11016,550.8,open,1.0
11017,550.85,open,1.0
11018,550.9,open,1.0
11019,550.95,open,1.0
11020,551.0,open,1.0
11021,551.05,open,1.0
11022,551.1,open,1.0
11023,551.15,open,1.0
11024,551.2,open,1.0
11025,551.25,open,1.0
11026,551.3,open,1.0
11027,551.35,open,1.0
11028,551.4,open,1.0
11029,551.45,open,1.0
11030,551.5,open,1.0
11031,551.55,open,1.0
11032,551.6,open,1.0
11033,551.65,open,1.0
11034,551.7,open,1.0
11035,551.75,open,1.0
11036,551.8,open,1.0
11037,551.85,close,0.5309
11038,551.9,open,0.9758
11039,551.95,open,1.0
11040,552.0,open,1.0
11041,552.05,open,1.0
11042,552.1,open,1.0
11043,552.15,open,1.0
11044,552.2,open,1.0
11045,552.25,open,1.0
11046,552.3,open,1.0
11047,552.35,open,1.0
11048,552.4,open,1.0
11049,552.45,open,1.0
11050,552.5,open,1.0
11051,552.55,open,1.0
11052,552.6,open,1.0
11053,552.65,open,1.0
11054,552.7,open,1.0
11055,552.75,open,1.0
11056,552.8,open,1.0
11057,552.85,open,1.0
11058,552.9,open,1.0
11059,552.95,open,1.0
11060,553.0,open,1.0
11061,553.05,open,1.0
11062,553.1,open,1.0
11063,553.15,open,1.0
11064,553.2,open,1.0
11065,553.25,open,1.0
11066,553.3,open,1.0
11067,553.35,close,0.9416
11068,553.4,close,0.9976
11069,553.45,close,0.9966
11070,553.5,open,0.9993
11071,553.55,open,1.0
11072,553.6,open,1.0
11073,553.65,open,1.0
11074,553.7,open,1.0
11075,553.75,open,1.0
11076,553.8,open,1.0
11077,553.85,open,1.0
11078,553.9,open,1.0
11079,553.95,open,1.0
11080,554.0,open,1.0
11081,554.05,open,1.0
11082,554.1,open,1.0
11083,554.15,open,1.0
11084,554.2,open,1.0
11085,554.25,open,1.0
11086,554.3,open,1.0
11087,554.35,open,1.0
11088,554.4,open,1.0
11089,554.45,open,1.0
11090,554.5,open,1.0
11091,554.55,open,1.0
11092,554.6,open,1.0
11093,554.65,open,1.0
11094,554.7,close,0.9903
11095,554.75,close,0.9746
11096,554.8,open,0.9992
11097,554.85,open,1.0
11098,554.9,open,1.0
11099,554.95,open,1.0
11100,555.0,open,1.0
11101,555.05,open,1.0
11102,555.1,open,1.0
11103,555.15,open,1.0
11104,555.2,open,1.0
11105,555.25,open,1.0
11106,555.3,open,1.0
11107,555.35,open,1.0
11108,555.4,open,1.0
11109,555.45,open,1.0
11110,555.5,open,1.0
11111,555.55,open,1.0
11112,555.6,open,1.0
11113,555.65,close,0.8701
11114,555.7,close,0.5216
11115,555.75,open,1.0
11116,555.8,open,1.0
11117,555.85,open,1.0
11118,555.9,open,1.0
11119,555.95,open,1.0
11120,556.0,open,1.0
11121,556.05,open,1.0
11122,556.1,open,1.0
11123,556.15,open,1.0
11124,556.2,open,1.0
11125,556.25,open,1.0
11126,556.3,open,1.0
11127,556.35,open,1.0
11128,556.4,open,1.0
11129,556.45,open,1.0
11130,556.5,open,1.0
11131,556.55,open,1.0
11132,556.6,open,1.0
11133,556.65,open,1.0
11134,556.7,open,1.0
11135,556.75,open,1.0
11136,556.8,open,1.0
11137,556.85,open,0.9624
11138,556.9,close,0.9949
11139,556.95,open,0.7007
11140,557.0,open,1.0
11141,557.05,open,1.0
11142,557.1,open,1.0
11143,557.15,open,1.0
11144,557.2,open,1.0
11145,557.25,open,1.0
11146,557.3,open,1.0
11147,557.35,open,1.0
11148,557.4,open,1.0
11149,557.45,open,1.0
11150,557.5,open,1.0
11151,557.55,open,1.0
11152,557.6,open,1.0
11153,557.65,open,1.0
11154,557.7,open,1.0
11155,557.75,open,1.0
11156,557.8,open,1.0
11157,557.85,open,1.0
11158,557.9,open,1.0
11159,557.95,open,1.0
11160,558.0,open,1.0
11161,558.05,open,1.0
11162,558.1,open,1.0
11163,558.15,open,1.0
11164,558.2,open,1.0
11165,558.25,open,1.0
11166,558.3,open,1.0
11167,558.35,open,1.0
11168,558.4,open,1.0
11169,558.45,open,1.0
11170,558.5,open,1.0
11171,558.55,open,1.0
11172,558.6,open,1.0
11173,558.65,open,1.0
11174,558.7,open,0.8279
11175,558.75,close,0.9551
11176,558.8,open,0.9998
11177,558.85,open,1.0
11178,558.9,open,1.0
11179,558.95,open,1.0
11180,559.0,open,1.0
11181,559.05,open,1.0
11182,559.1,open,1.0
11183,559.15,open,1.0
11184,559.2,open,1.0
11185,559.25,open,1.0
11186,559.3,open,1.0
11187,559.35,open,1.0
11188,559.4,open,1.0
11189,559.45,open,1.0
11190,559.5,open,1.0
11191,559.55,open,1.0
11192,559.6,open,1.0
11193,559.65,open,1.0
11194,559.7,open,1.0
11195,559.75,open,1.0
11196,559.8,open,1.0
11197,559.85,open,0.9997
11198,559.9,close,0.9977
11199,559.95,close,0.8802
11200,560.0,open,1.0
11201,560.05,open,1.0
11202,560.1,open,1.0
11203,560.15,open,1.0
11204,560.2,open,1.0
11205,560.25,open,1.0
11206,560.3,open,1.0
11207,560.35,open,1.0
11208,560.4,open,1.0
11209,560.45,open,1.0
11210,560.5,open,1.0
11211,560.55,open,1.0
11212,560.6,open,1.0
11213,560.65,open,1.0
11214,560.7,open,1.0
11215,560.75,open,1.0
11216,560.8,open,1.0
11217,560.85,open,1.0
11218,560.9,open,1.0
11219,560.95,open,1.0
11220,561.0,open,1.0
11221,561.05,open,1.0
11222,561.1,open,1.0
11223,561.15,open,1.0
11224,561.2,open,1.0
11225,561.25,open,1.0
11226,561.3,open,1.0
11227,561.35,open,1.0
11228,561.4,open,1.0
11229,561.45,open,1.0
11230,561.5,open,1.0
11231,561.55,open,1.0
11232,561.6,open,1.0
11233,561.65,open,1.0
11234,561.7,open,1.0
11235,561.75,open,1.0
11236,561.8,open,1.0
11237,561.85,close,0.9949
11238,561.9,close,0.9958
11239,561.95,open,0.7655
11240,562.0,open,0.9999
11241,562.05,open,1.0
11242,562.1,open,1.0
11243,562.15,open,1.0
11244,562.2,open,1.0
11245,562.25,open,1.0
11246,562.3,open,1.0
11247,562.35,open,1.0
11248,562.4,open,1.0
11249,562.45,open,1.0
11250,562.5,close,0.9871
11251,562.55,close,0.9962
11252,562.6,close,0.9506
11253,562.65,open,0.9997
11254,562.7,open,1.0
11255,562.75,open,1.0
11256,562.8,open,1.0
11257,562.85,open,1.0
11258,562.9,open,1.0
11259,562.95,open,1.0
11260,563.0,open,1.0
11261,563.05,open,1.0
11262,563.1,open,1.0
11263,563.15,open,1.0
11264,563.2,open,1.0
11265,563.25,open,1.0
11266,563.3,open,1.0
11267,563.35,open,1.0
11268,563.4,open,1.0
11269,563.45,open,1.0
11270,563.5,open,1.0
11271,563.55,open,1.0
11272,563.6,open,1.0
11273,563.65,close,0.8085
11274,563.7,close,0.9832
11275,563.75,open,0.9999
11276,563.8,open,1.0
11277,563.85,open,1.0
11278,563.9,open,1.0
11279,563.95,open,1.0
11280,564.0,open,1.0
11281,564.05,open,1.0
11282,564.1,open,1.0
11283,564.15,open,1.0
11284,564.2,open,1.0
11285,564.25,open,1.0
11286,564.3,open,1.0
11287,564.35,open,1.0
11288,564.4,open,1.0
11289,564.45,open,1.0
11290,564.5,open,1.0
11291,564.55,open,1.0
11292,564.6,open,1.0
11293,564.65,open,1.0
11294,564.7,open,1.0
11295,564.75,open,1.0
11296,564.8,open,1.0
11297,564.85,open,1.0
11298,564.9,open,1.0
11299,564.95,open,1.0
11300,565.0,open,1.0
11301,565.05,open,1.0
11302,565.1,open,1.0
11303,565.15,open,1.0
11304,565.2,open,1.0
11305,565.25,open,1.0
11306,565.3,open,1.0
11307,565.35,open,1.0
11308,565.4,open,1.0
11309,565.45,open,1.0
11310,565.5,open,1.0
11311,565.55,open,1.0
11312,565.6,open,1.0
11313,565.65,open,1.0
11314,565.7,open,1.0
11315,565.75,open,1.0
11316,565.8,open,1.0
11317,565.85,open,1.0
11318,565.9,open,1.0
11319,565.95,open,1.0
11320,566.0,open,1.0
11321,566.05,open,1.0
11322,566.1,open,1.0
11323,566.15,open,1.0
11324,566.2,open,0.9435
11325,566.25,close,0.9988
11326,566.3,close,0.9715
11327,566.35,open,0.9998
11328,566.4,open,1.0
11329,566.45,open,1.0
11330,566.5,open,1.0
11331,566.55,open,1.0
11332,566.6,open,1.0
11333,566.65,open,1.0
11334,566.7,open,1.0
11335,566.75,open,1.0
11336,566.8,open,1.0
11337,566.85,open,1.0
11338,566.9,open,1.0
11339,566.95,open,1.0
11340,567.0,open,1.0
11341,567.05,open,1.0
11342,567.1,open,1.0
11343,567.15,open,1.0
11344,567.2,open,1.0
11345,567.25,open,1.0
11346,567.3,open,1.0
11347,567.35,open,1.0
11348,567.4,open,1.0
11349,567.45,open,1.0
11350,567.5,open,1.0
11351,567.55,open,1.0
11352,567.6,open,1.0
11353,567.65,open,1.0
11354,567.7,open,1.0
11355,567.75,open,1.0
11356,567.8,open,1.0
11357,567.85,open,1.0
11358,567.9,open,1.0
11359,567.95,open,1.0
11360,568.0,open,1.0
11361,568.05,open,1.0
11362,568.1,open,1.0
11363,568.15,open,1.0
11364,568.2,open,1.0
11365,568.25,open,1.0
11366,568.3,open,1.0
11367,568.35,open,1.0
11368,568.4,open,1.0
11369,568.45,open,1.0
11370,568.5,open,1.0
11371,568.55,open,1.0
11372,568.6,open,1.0
11373,568.65,close,0.9956
11374,568.7,close,0.995
11375,568.75,open,0.6858
11376,568.8,open,1.0
11377,568.85,open,1.0
11378,568.9,open,1.0
11379,568.95,open,1.0
11380,569.0,open,1.0
11381,569.05,open,1.0
11382,569.1,open,1.0
11383,569.15,open,1.0
11384,569.2,open,1.0
11385,569.25,open,1.0
11386,569.3,open,1.0
11387,569.35,open,1.0
11388,569.4,open,1.0
11389,569.45,open,1.0
11390,569.5,open,1.0
11391,569.55,open,1.0
11392,569.6,open,1.0
11393,569.65,open,1.0
11394,569.7,open,1.0
11395,569.75,open,1.0
11396,569.8,open,1.0
11397,569.85,open,1.0
11398,569.9,open,1.0
11399,569.95,close,0.8158
11400,570.0,open,0.8876
11401,570.05,open,1.0
11402,570.1,open,1.0
11403,570.15,open,1.0
11404,570.2,open,1.0
11405,570.25,open,1.0
11406,570.3,open,1.0
11407,570.35,open,1.0
11408,570.4,open,1.0
11409,570.45,open,1.0
11410,570.5,open,1.0
11411,570.55,open,1.0
11412,570.6,open,1.0
11413,570.65,open,1.0
11414,570.7,open,1.0
11415,570.75,open,1.0
11416,570.8,open,1.0
11417,570.85,open,1.0
11418,570.9,open,1.0
11419,570.95,open,1.0
11420,571.0,open,1.0
11421,571.05,open,1.0
11422,571.1,open,1.0
11423,571.15,open,0.9996
11424,571.2,close,0.9987
11425,571.25,close,0.9982
11426,571.3,open,0.8773
11427,571.35,open,1.0
11428,571.4,open,1.0
11429,571.45,open,1.0
11430,571.5,open,1.0
11431,571.55,open,1.0
11432,571.6,open,1.0
11433,571.65,open,1.0
11434,571.7,open,1.0
11435,571.75,open,1.0
11436,571.8,open,1.0
11437,571.85,open,1.0
11438,571.9,open,1.0
11439,571.95,open,1.0
11440,572.0,open,1.0
11441,572.05,open,1.0
11442,572.1,open,1.0
11443,572.15,open,1.0
11444,572.2,open,1.0
11445,572.25,open,1.0
11446,572.3,open,1.0
11447,572.35,open,1.0
11448,572.4,open,0.7327
11449,572.45,close,0.9979
11450,572.5,close,0.9968
11451,572.55,close,0.996
11452,572.6,open,0.9961
11453,572.65,open,1.0
11454,572.7,open,1.0
11455,572.75,open,1.0
11456,572.8,open,1.0
11457,572.85,open,1.0
11458,572.9,open,1.0
11459,572.95,open,1.0
11460,573.0,open,1.0
11461,573.05,open,1.0
11462,573.1,open,1.0
11463,573.15,open,1.0
11464,573.2,open,1.0
11465,573.25,open,1.0
11466,573.3,open,1.0
11467,573.35,open,1.0
11468,573.4,open,1.0
11469,573.45,open,1.0
11470,573.5,open,1.0
11471,573.55,open,1.0
11472,573.6,open,1.0
11473,573.65,close,0.9726
11474,573.7,close,0.9672
11475,573.75,open,0.9998
11476,573.8,open,1.0
11477,573.85,open,1.0
11478,573.9,open,1.0
11479,573.95,open,1.0
11480,574.0,open,1.0
11481,574.05,open,1.0
11482,574.1,open,1.0
11483,574.15,open,1.0
11484,574.2,open,1.0
11485,574.25,open,1.0
11486,574.3,open,1.0
11487,574.35,open,1.0
11488,574.4,open,1.0
11489,574.45,open,1.0
11490,574.5,open,1.0
11491,574.55,open,1.0
11492,574.6,open,1.0
11493,574.65,open,1.0
11494,574.7,open,1.0
11495,574.75,open,1.0
11496,574.8,open,1.0
11497,574.85,open,1.0
11498,574.9,close,0.7919
11499,574.95,close,0.8925
11500,575.0,open,0.9999
11501,575.05,open,1.0
11502,575.1,open,1.0
11503,575.15,open,1.0
11504,575.2,open,1.0
11505,575.25,open,1.0
11506,575.3,open,1.0
11507,575.35,open,1.0
11508,575.4,open,1.0
11509,575.45,open,1.0
11510,575.5,open,1.0
11511,575.55,open,1.0
11512,575.6,open,1.0
11513,575.65,open,1.0
11514,575.7,open,1.0
11515,575.75,open,1.0
11516,575.8,open,1.0
11517,575.85,open,1.0
11518,575.9,open,1.0
11519,575.95,open,1.0
11520,576.0,open,1.0
11521,576.05,open,1.0
11522,576.1,open,1.0
11523,576.15,open,1.0
11524,576.2,open,0.9588
11525,576.25,close,0.9984
11526,576.3,close,0.9982
11527,576.35,close,0.9982
11528,576.4,close,0.9982
11529,576.45,open,0.9939
11530,576.5,open,1.0
11531,576.55,open,1.0
11532,576.6,open,1.0
11533,576.65,open,1.0
11534,576.7,open,1.0
11535,576.75,open,1.0
11536,576.8,open,1.0
11537,576.85,open,1.0
11538,576.9,open,1.0
11539,576.95,open,1.0
11540,577.0,open,1.0
11541,577.05,open,1.0
11542,577.1,open,1.0
11543,577.15,open,1.0
11544,577.2,open,1.0
11545,577.25,open,1.0
11546,577.3,open,1.0
11547,577.35,open,1.0
11548,577.4,open,1.0
11549,577.45,open,0.567
11550,577.5,close,0.9969
11551,577.55,close,0.6777
11552,577.6,open,0.9996
11553,577.65,open,1.0
11554,577.7,open,1.0
11555,577.75,open,1.0
11556,577.8,open,1.0
11557,577.85,open,1.0
11558,577.9,open,1.0
11559,577.95,open,1.0
11560,578.0,open,1.0
11561,578.05,open,1.0
11562,578.1,open,1.0
11563,578.15,open,1.0
11564,578.2,open,1.0
11565,578.25,open,1.0
11566,578.3,open,1.0
11567,578.35,open,1.0
11568,578.4,open,1.0
11569,578.45,open,1.0
11570,578.5,open,1.0
11571,578.55,open,1.0
11572,578.6,open,1.0
11573,578.65,open,1.0
11574,578.7,open,1.0
11575,578.75,open,1.0
11576,578.8,open,1.0
11577,578.85,open,1.0
11578,578.9,open,1.0
11579,578.95,open,1.0
11580,579.0,open,1.0
11581,579.05,open,1.0
11582,579.1,open,1.0
11583,579.15,open,1.0
11584,579.2,open,0.9899
11585,579.25,close,0.9669
11586,579.3,open,0.9995
11587,579.35,open,1.0
11588,579.4,open,1.0
11589,579.45,open,1.0
11590,579.5,open,1.0
11591,579.55,open,1.0
11592,579.6,open,1.0
11593,579.65,open,1.0
11594,579.7,open,1.0
11595,579.75,open,1.0
11596,579.8,open,1.0
11597,579.85,open,1.0
11598,579.9,open,1.0
11599,579.95,open,1.0
11600,580.0,open,1.0
11601,580.05,open,1.0
11602,580.1,open,1.0
11603,580.15,open,1.0
11604,580.2,open,1.0
11605,580.25,open,1.0
11606,580.3,open,1.0
11607,580.35,open,1.0
11608,580.4,open,1.0
11609,580.45,open,1.0
11610,580.5,open,1.0
11611,580.55,open,1.0
11612,580.6,open,1.0
11613,580.65,open,1.0
11614,580.7,open,1.0
11615,580.75,open,1.0
11616,580.8,open,1.0
11617,580.85,open,1.0
11618,580.9,open,1.0
11619,580.95,open,1.0
11620,581.0,open,1.0
11621,581.05,open,1.0
11622,581.1,close,0.9516
11623,581.15,close,0.9964
11624,581.2,open,0.9991
11625,581.25,open,1.0
11626,581.3,open,1.0
11627,581.35,open,1.0
11628,581.4,open,1.0
11629,581.45,open,1.0
11630,581.5,open,1.0
11631,581.55,open,1.0
11632,581.6,open,1.0
11633,581.65,open,1.0
11634,581.7,open,1.0
11635,581.75,open,1.0
11636,581.8,open,1.0
11637,581.85,open,1.0
11638,581.9,open,1.0
11639,581.95,open,1.0
11640,582.0,open,1.0
11641,582.05,open,1.0
11642,582.1,open,1.0
11643,582.15,open,1.0
11644,582.2,open,1.0
11645,582.25,open,1.0
11646,582.3,open,1.0
11647,582.35,open,0.9887
11648,582.4,close,0.9967
11649,582.45,close,0.9156
11650,582.5,open,0.9996
11651,582.55,open,1.0
11652,582.6,open,1.0
11653,582.65,open,1.0
11654,582.7,open,1.0
11655,582.75,open,1.0
11656,582.8,open,1.0
11657,582.85,open,1.0
11658,582.9,open,1.0
11659,582.95,open,1.0
11660,583.0,open,1.0
11661,583.05,open,1.0
11662,583.1,open,1.0
11663,583.15,open,1.0
11664,583.2,open,1.0
11665,583.25,open,1.0
11666,583.3,open,1.0
11667,583.35,open,1.0
11668,583.4,open,1.0
11669,583.45,open,1.0
11670,583.5,open,1.0
11671,583.55,open,1.0
11672,583.6,open,1.0
11673,583.65,open,1.0
11674,583.7,open,1.0
11675,583.75,open,1.0
11676,583.8,open,1.0
11677,583.85,open,1.0
11678,583.9,open,1.0
11679,583.95,open,1.0
11680,584.0,open,1.0
11681,584.05,open,1.0
11682,584.1,open,1.0
11683,584.15,close,0.9078
11684,584.2,close,0.9959
11685,584.25,open,0.9954
11686,584.3,open,1.0
11687,584.35,open,1.0
11688,584.4,open,1.0
11689,584.45,open,1.0
11690,584.5,open,1.0
11691,584.55,open,1.0
11692,584.6,open,1.0
11693,584.65,open,1.0
11694,584.7,open,1.0
11695,584.75,open,1.0
11696,584.8,open,1.0
11697,584.85,open,1.0
11698,584.9,open,1.0
11699,584.95,open,1.0
11700,585.0,open,1.0
11701,585.05,open,1.0
11702,585.1,open,1.0
11703,585.15,open,1.0
11704,585.2,open,1.0
11705,585.25,open,1.0
11706,585.3,open,1.0
11707,585.35,open,1.0
11708,585.4,open,1.0
11709,585.45,open,1.0
11710,585.5,open,1.0
11711,585.55,open,1.0
11712,585.6,open,1.0
11713,585.65,open,1.0
11714,585.7,open,1.0
11715,585.75,open,1.0
11716,585.8,open,1.0
11717,585.85,open,1.0
11718,585.9,open,1.0
11719,585.95,open,1.0
11720,586.0,open,1.0
11721,586.05,close,0.9307
11722,586.1,close,0.9967
11723,586.15,open,0.9297
11724,586.2,open,1.0
11725,586.25,open,1.0
11726,586.3,open,1.0
11727,586.35,open,1.0
11728,586.4,open,1.0
11729,586.45,open,1.0
11730,586.5,open,1.0
11731,586.55,open,1.0
11732,586.6,open,1.0
11733,586.65,open,1.0
11734,586.7,open,1.0
11735,586.75,open,1.0
11736,586.8,open,1.0
11737,586.85,open,1.0
11738,586.9,open,1.0
11739,586.95,close,0.9778
11740,587.0,open,0.9956
11741,587.05,open,1.0
11742,587.1,open,1.0
11743,587.15,open,1.0
11744,587.2,open,1.0
11745,587.25,open,1.0
11746,587.3,open,1.0
11747,587.35,open,1.0
11748,587.4,open,1.0
11749,587.45,open,1.0
11750,587.5,open,1.0
11751,587.55,open,1.0
11752,587.6,open,1.0
11753,587.65,open,1.0
11754,587.7,open,1.0
11755,587.75,open,1.0
11756,587.8,open,1.0
11757,587.85,open,1.0
11758,587.9,open,1.0
11759,587.95,open,1.0
11760,588.0,open,1.0
11761,588.05,open,1.0
11762,588.1,open,1.0
11763,588.15,open,1.0
11764,588.2,open,1.0
11765,588.25,open,1.0
11766,588.3,open,1.0
11767,588.35,open,1.0
11768,588.4,open,1.0
11769,588.45,open,1.0
11770,588.5,open,1.0
11771,588.55,open,1.0
11772,588.6,open,1.0
11773,588.65,open,0.9974
11774,588.7,close,0.9929
11775,588.75,close,0.8215
11776,588.8,open,0.9999
11777,588.85,open,1.0
11778,588.9,open,1.0
11779,588.95,open,1.0
11780,589.0,open,1.0
11781,589.05,open,1.0
11782,589.1,open,1.0
11783,589.15,open,1.0
11784,589.2,open,1.0
11785,589.25,open,1.0
11786,589.3,open,1.0
11787,589.35,open,1.0
11788,589.4,open,1.0
11789,589.45,open,1.0
11790,589.5,open,1.0
11791,589.55,open,1.0
11792,589.6,open,1.0
11793,589.65,open,1.0
11794,589.7,open,1.0
11795,589.75,open,1.0
11796,589.8,open,1.0
11797,589.85,open,1.0
11798,589.9,open,0.9607
11799,589.95,close,0.999
11800,590.0,close,0.9979
11801,590.05,open,0.9971
11802,590.1,open,1.0
11803,590.15,open,1.0
11804,590.2,open,1.0
11805,590.25,open,1.0
11806,590.3,open,1.0
11807,590.35,open,1.0
11808,590.4,open,1.0
11809,590.45,open,1.0
11810,590.5,open,1.0
11811,590.55,open,1.0
11812,590.6,open,1.0
11813,590.65,open,1.0
11814,590.7,open,1.0
11815,590.75,open,1.0
11816,590.8,open,1.0
11817,590.85,open,1.0
11818,590.9,open,1.0
11819,590.95,open,1.0
11820,591.0,open,0.9999
11821,591.05,open,1.0
11822,591.1,open,1.0
11823,591.15,open,1.0
11824,591.2,open,1.0
11825,591.25,open,1.0
11826,591.3,open,1.0
11827,591.35,open,1.0
11828,591.4,open,1.0
11829,591.45,open,1.0
11830,591.5,open,1.0
11831,591.55,open,1.0
11832,591.6,open,1.0
11833,591.65,open,1.0
11834,591.7,open,1.0
11835,591.75,open,1.0
11836,591.8,open,0.94
11837,591.85,close,0.9489
11838,591.9,open,0.9986
11839,591.95,open,1.0
11840,592.0,open,1.0
11841,592.05,open,1.0
11842,592.1,open,1.0
11843,592.15,open,1.0
11844,592.2,open,1.0
11845,592.25,open,1.0
11846,592.3,open,1.0
11847,592.35,open,1.0
11848,592.4,open,1.0
11849,592.45,open,1.0
11850,592.5,open,1.0
11851,592.55,open,1.0
11852,592.6,open,1.0
11853,592.65,open,1.0
11854,592.7,open,1.0
11855,592.75,open,1.0
11856,592.8,open,1.0
11857,592.85,open,1.0
11858,592.9,open,1.0
11859,592.95,open,1.0
11860,593.0,open,1.0
11861,593.05,open,1.0
11862,593.1,open,1.0
11863,593.15,open,1.0
11864,593.2,open,1.0
11865,593.25,open,1.0
11866,593.3,open,1.0
11867,593.35,open,1.0
11868,593.4,open,1.0
11869,593.45,open,1.0
11870,593.5,open,1.0
11871,593.55,open,1.0
11872,593.6,open,0.7243
11873,593.65,open,0.8552
11874,593.7,open,1.0
11875,593.75,open,1.0
11876,593.8,open,1.0
11877,593.85,open,1.0
11878,593.9,open,1.0
11879,593.95,open,1.0
11880,594.0,open,1.0
11881,594.05,open,1.0
11882,594.1,open,1.0
11883,594.15,open,1.0
11884,594.2,open,1.0
11885,594.25,open,1.0
11886,594.3,open,1.0
11887,594.35,open,1.0
11888,594.4,open,1.0
11889,594.45,open,1.0
11890,594.5,open,1.0
11891,594.55,open,1.0
11892,594.6,open,0.9999
11893,594.65,open,1.0
11894,594.7,open,1.0
11895,594.75,open,1.0
11896,594.8,open,1.0
11897,594.85,open,1.0
11898,594.9,open,1.0
11899,594.95,open,1.0
11900,595.0,open,1.0
11901,595.05,open,1.0
11902,595.1,open,1.0
11903,595.15,open,1.0
11904,595.2,open,1.0
11905,595.25,open,1.0
11906,595.3,open,1.0
11907,595.35,open,1.0
11908,595.4,open,1.0
11909,595.45,open,1.0
11910,595.5,open,0.9997
11911,595.55,close,0.9827
11912,595.6,open,0.9268
11913,595.65,open,1.0
11914,595.7,open,1.0
11915,595.75,open,1.0
11916,595.8,open,1.0
11917,595.85,open,1.0
11918,595.9,open,1.0
11919,595.95,open,1.0
11920,596.0,open,1.0
11921,596.05,open,1.0
11922,596.1,open,1.0
11923,596.15,open,1.0
11924,596.2,close,0.948
11925,596.25,close,0.9982
11926,596.3,open,0.9903
11927,596.35,open,1.0
11928,596.4,open,1.0
11929,596.45,open,1.0
11930,596.5,open,1.0
11931,596.55,open,1.0
11932,596.6,open,1.0
11933,596.65,open,1.0
11934,596.7,open,1.0
11935,596.75,open,1.0
11936,596.8,open,1.0
11937,596.85,open,1.0
11938,596.9,open,1.0
11939,596.95,open,1.0
11940,597.0,open,1.0
11941,597.05,open,1.0
11942,597.1,open,1.0
11943,597.15,open,1.0
11944,597.2,open,1.0
11945,597.25,open,1.0
11946,597.3,open,1.0
11947,597.35,open,1.0
11948,597.4,open,0.9937
11949,597.45,close,0.9957
11950,597.5,open,0.9928
11951,597.55,open,1.0
11952,597.6,open,1.0
11953,597.65,open,1.0
11954,597.7,open,1.0
11955,597.75,open,1.0
11956,597.8,open,1.0
11957,597.85,open,1.0
11958,597.9,open,1.0
11959,597.95,open,1.0
11960,598.0,open,1.0
11961,598.05,open,1.0
11962,598.1,open,1.0
11963,598.15,open,1.0
11964,598.2,open,1.0
11965,598.25,open,1.0
11966,598.3,open,1.0
11967,598.35,open,1.0
11968,598.4,open,1.0
11969,598.45,open,1.0
11970,598.5,open,1.0
11971,598.55,open,1.0
11972,598.6,open,1.0
11973,598.65,open,1.0
11974,598.7,open,1.0
